config,defense,clip_norm,noise_std,round,accuracy,loss,train_loss,learning_rate,update_norm,clipping_scale,noise_std_recorded
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,14,0.2369,2.074,2.100690232341817,0.04262677003087963,0.05338316297525465,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,15,0.2135,2.0627,2.088925965005526,0.04152852054182151,0.04974139699499765,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,16,0.2433,2.0441,2.073244163087442,0.040372624852748826,0.04581313110231203,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,17,0.2322,2.0327,2.060869390067175,0.03916383278698681,0.04180523532776318,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,18,0.2475,2.0167,2.0480126863456056,0.0379071115304188,0.0367508616455466,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,19,0.2524,2.0054,2.0377103527150537,0.03660762522025386,0.03274022420766106,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,20,0.2529,1.9932,2.026024995955761,0.03527071372447942,0.028372849250487345,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,21,0.2643,1.9834,2.015574910425056,0.033901870699198235,0.025315870753128016,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,22,0.2638,1.9734,2.0058393917582538,0.032506721014017075,0.022852725432957046,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,23,0.2739,1.9655,1.9966594797234827,0.03109099763825104,0.021147595590719156,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,24,0.2693,1.9585,1.990906609863727,0.029660518082922846,0.0197424266180567,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,25,0.2732,1.9514,1.9824977289933527,0.02822116049536225,0.018637586736650093,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,26,0.2723,1.9452,1.97631965586469,0.026778839504637757,0.017539879570169486,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,27,0.2752,1.939,1.9689319403542656,0.025339481917077168,0.016583044098970403,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,28,0.2766,1.934,1.96491065746105,0.02390900236174898,0.015460424561750553,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,29,0.2788,1.9287,1.9590836288011146,0.02249327898598293,0.014499792598199657,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,30,0.2796,1.9243,1.9546290144478538,0.021098129300801773,0.01360626021615054,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,31,0.2815,1.9202,1.9516483290957607,0.019729286275520584,0.012607170227377461,0.9999999999999998,1e-05
